DOMAIN	Anaeromyces-like_sp_C3J_Trinity	Anaeromyces_robustus_S4	Anaeromyces_sp_C3G_Trinity	Anaeromyces_sp_G3G_Trinity	Anaeromyces_sp_Na_Trinity	Anaeromyces_sp_O2_Trinity	Caecomyces_sp_Brit4_Trinity	Caecomyces_sp_Iso3_Trinity	Chytriomyces_sp_MP71	Entophlyctis_helioformis_JEL805	Gaertneriomyces_semiglobifer_Barr_43	Gonapodya_prolifera_JEL478	Neocallimastix_californiae_G1	Neocallimastix_frontalis_Hef5_Trinity	Neocallimastix_sp_G3_Trinity	Orpinomyces_sp_D3A_Trinity	Orpinomyces_sp_D3B_Trinity	Orpinomyces_sp_D4C_Trinity	Pecoramyces_ruminantium_C1A	Pecoramyces_sp_FS3C_Trinity	Pecoramyces_sp_FX4B_Trinity	Pecoramyces_sp_S4B_Trinity	Pecoramyces_sp_YC3_Trinity	Piromyces_finnis	Piromyces_sp_A1_Trinity	Piromyces_sp_B4_Trinity	Piromyces_sp_B5_Trinity	Piromyces_sp_E2	Rhizoclosmatium_globosum_primary	Feramyces_austinii_WSF2c_Trinity	Feramyces_austinii_WSF3a_Trinity
Ank_2	3999	1107	2345	2295	2462	4592	2629	4533	148	96	92	163	1267	4975	1962	1230	1149	1304	3978	3613	2975	3143	2999	1025	1792	3869	4483	1441	195	1449	1663
Ank_4	4281	1043	2588	2486	2639	4951	2710	4471	58	92	64	86	980	5180	1936	1215	1147	1298	3512	3594	2825	2987	2923	893	1746	4040	4655	1345	86	1443	1617
Ank_3	3892	845	2369	2352	2549	4489	2434	4067	42	45	49	76	679	4569	1644	1092	1026	1159	2650	3145	2514	2475	2618	579	1514	3654	4212	1142	56	1234	1339
Ank	3811	804	2270	2298	2531	4327	2165	3610	60	74	79	92	716	4280	1637	1007	945	1121	2406	2866	2327	2335	2393	644	1437	3390	3884	1092	97	1248	1378
CBM_10	1345	579	688	1158	1163	1551	766	1444	0	0	0	0	869	1492	897	695	1090	715	636	1054	882	964	925	472	1350	1898	1382	718	0	919	992
Ank_5	1698	415	1027	1158	1192	2106	970	1572	26	42	27	41	391	2067	864	536	506	578	1028	1217	900	1069	1003	364	680	1813	1939	551	43	716	785
WD40	1432	382	604	1257	1053	1706	511	1343	390	361	368	295	562	1630	829	613	504	654	333	907	702	726	701	405	580	1240	320	287	466	548	681
Chitin_bind_1	428	301	198	315	320	406	534	1057	2	3	6	16	400	908	446	314	328	387	395	806	738	698	818	172	747	755	639	442	1	779	732
LRR_8	663	544	298	311	384	632	594	1659	142	244	32	33	451	896	335	205	206	264	441	491	554	504	592	470	449	527	130	273	199	362	348
Pkinase	644	204	355	626	596	741	284	845	288	221	146	277	362	1106	508	424	363	353	227	526	423	469	404	208	384	851	426	160	264	311	407
Pkinase_Tyr	589	196	308	562	522	674	246	748	261	206	138	270	340	1020	447	358	303	317	207	461	395	442	369	197	340	711	329	146	249	275	354
RRM_1	584	144	320	496	666	582	257	796	132	107	104	115	236	919	518	308	283	283	126	358	274	292	284	144	1052	506	147	117	142	211	271
CotH	405	207	199	324	305	399	201	575	0	0	0	0	231	475	286	186	195	162	227	259	221	333	247	129	451	502	499	168	0	232	215
ABC_tran	348	172	204	268	243	465	148	436	157	109	72	98	222	435	253	141	234	201	146	245	214	268	223	105	232	553	394	204	203	146	145
Sel1	372	117	281	250	384	293	157	545	87	40	35	302	233	530	284	174	186	171	113	285	177	161	185	119	229	296	258	102	189	144	175
LRR_4	278	226	142	163	191	286	253	707	45	71	16	18	135	363	119	113	111	116	167	207	263	219	235	162	213	268	68	94	52	162	159
SH3_1	215	84	107	177	217	257	135	356	108	43	42	84	129	363	183	107	123	144	117	192	224	215	183	79	213	310	112	70	62	141	166
AAA	267	62	99	221	245	267	107	259	68	62	62	79	87	250	157	138	119	136	59	178	115	178	158	67	164	214	137	60	69	140	129
SH3_9	163	66	84	144	183	207	110	284	76	31	38	57	104	307	148	94	106	116	82	164	181	183	158	59	185	245	93	45	44	114	136
zf-C2H2	130	58	75	128	124	161	64	148	228	86	63	100	117	173	168	56	66	60	20	118	92	111	75	64	156	717	241	73	203	64	207
MFS_1	192	68	86	130	327	172	66	175	133	36	32	217	184	205	123	69	117	112	62	149	119	145	100	42	95	282	167	53	158	126	131
Ras	155	57	66	164	177	220	108	297	69	43	44	36	95	259	129	134	107	99	42	150	106	229	100	56	222	211	117	43	46	97	122
Arf	129	54	57	122	161	192	92	286	88	48	43	38	99	274	122	119	100	88	34	136	108	206	105	55	234	208	136	37	58	102	126
Helicase_C	235	72	131	136	149	255	97	238	94	75	83	81	92	208	158	81	72	85	64	173	114	133	99	74	85	190	126	56	94	76	93
Roc	138	51	58	136	165	203	90	271	63	37	43	34	87	228	109	122	95	86	36	124	91	202	89	51	200	161	84	34	43	83	112
C2	129	59	95	83	125	172	98	288	38	23	24	31	90	245	141	64	188	83	52	123	107	115	98	53	104	215	50	49	23	48	79
Mito_carr	168	37	83	114	119	176	108	143	163	119	114	137	69	241	145	60	49	48	30	117	71	69	61	36	131	177	73	27	124	61	79
MMR_HSR1	154	53	67	133	132	166	91	192	61	37	46	47	93	277	99	70	61	72	75	106	99	82	94	53	115	147	59	48	55	85	81
Sugar_tr	132	49	83	75	263	130	41	95	83	10	10	62	157	173	154	57	98	71	52	144	97	96	93	40	85	189	101	44	60	132	149
DEAD	202	54	96	110	112	217	55	162	71	51	54	54	63	170	116	82	66	86	56	138	85	112	68	58	89	176	137	42	62	42	68
CBM_1	161	66	75	112	139	151	77	161	11	0	0	18	127	140	88	66	89	82	80	119	87	81	106	72	145	133	106	86	0	129	136
Peptidase_S8	159	148	94	118	156	179	45	146	16	11	11	6	57	100	46	35	76	49	113	100	85	92	105	40	138	181	169	83	20	39	48
TPR_8	162	52	64	120	103	146	54	159	35	26	22	28	65	203	120	56	61	107	63	99	105	110	90	67	90	194	52	45	67	65	82
SH3_2	115	51	59	88	92	140	65	189	46	30	28	25	64	229	98	64	72	88	47	99	114	107	85	46	124	188	61	32	39	70	95
Polysacc_deac_1	145	49	38	166	163	163	47	111	18	18	13	19	86	191	96	54	76	79	47	91	94	116	102	44	110	112	90	45	14	95	116
Arm	68	38	35	80	153	91	41	161	24	24	17	20	70	320	112	82	72	72	39	76	67	71	44	48	140	255	17	31	19	37	73
